Test Type,Power Step (%),Input Voltage RMS (V),Input Current RMS (A),Input Active Power (W),Input Reactive Power (Var),Input Apparent Power (VA),Input (Total) Power Factor,Input THDV (%),Input THDI (%),Output Voltage RMS (V),Output Current RMS (A),Output Active Power (W),Output Reactive Power (Var),Output Apparent Power (VA),Output (Total) Power Factor,Output THDV (%),Output THDI (%),Efficiency (%)
Increasing Power,0,123.51241302490234,0.007429832126945257,0.03103458834487414,0.9171515842239065,0.9176765084266663,0.033818658383314375,0.8255399472583361,15.521376852284021,24.104022979736328,0.002995582763105631,0.015176724897789809,0.07059259924201693,0.07220559567213058,0.21018765590833033,293.1101832522197,115.22647775403982,48.90261384857869
Increasing Power,10,123.52464294433594,0.07095237821340561,3.306453596364858,8.116741670235823,8.76436710357666,0.37726096559961797,0.8032000474070676,222.20246455217588,24.09917449951172,0.12084418535232544,2.909804582319601,None (DC),None (DC),None (DC),None (DC),None (DC),88.00379311291906
Increasing Power,20,123.50346374511719,0.1263582706451416,6.563228931684413,14.15843945672277,15.605684280395508,0.4205665585538858,0.7516989278795022,196.74615387922847,24.095321655273438,0.2438473105430603,5.872500509802985,None (DC),None (DC),None (DC),None (DC),None (DC),89.47578350426127
Increasing Power,30,123.47830200195312,0.17885342240333557,9.99335522734175,19.694129111362635,22.084516525268555,0.45250504877059916,0.7809773542647135,187.98620141592352,24.09139060974121,0.37058091163635254,8.924326842123891,None (DC),None (DC),None (DC),None (DC),None (DC),89.30260797401652
Increasing Power,40,123.56310272216797,0.22472362220287323,13.298247144236756,24.376080961082305,27.767547607421875,0.47891327431027153,0.7875523251511319,172.79984215637333,24.087602615356445,0.49365922808647156,11.887435509269144,None (DC),None (DC),None (DC),None (DC),None (DC),89.39099552245099
Increasing Power,50,123.59265899658203,0.2733682096004486,16.78263212091124,29.323329092987994,33.78630447387695,0.4967288486341355,0.759054793175308,166.1979669359975,24.08183479309082,0.620682954788208,14.943839860281054,None (DC),None (DC),None (DC),None (DC),None (DC),89.0434810977055
Increasing Power,60,123.5747299194336,0.32193610072135925,20.171223375866788,34.29026047130332,39.783164978027344,0.5070291261896223,0.781592309019458,162.1080321810818,24.07587432861328,0.7435884475708008,17.900003493132402,None (DC),None (DC),None (DC),None (DC),None (DC),88.74029680593536
Increasing Power,70,123.61151123046875,0.3707353472709656,23.587932369362118,39.29042732928603,45.82715606689453,0.5147151687730849,0.7889382037582016,157.90099652404615,24.070148468017578,0.8700646162033081,20.941079366053046,None (DC),None (DC),None (DC),None (DC),None (DC),88.77878331232196
Increasing Power,80,123.6053237915039,0.4163180887699127,27.043214629486275,43.78021159002127,51.45913314819336,0.5255279864821375,0.7307997664804489,148.9771376941404,24.06704330444336,0.9932231903076172,23.90277234197559,None (DC),None (DC),None (DC),None (DC),None (DC),88.38731885045006
Increasing Power,90,123.50873565673828,0.46183761954307556,30.57088841472999,48.15697590558492,57.04098129272461,0.5359460465423165,0.8091473280097315,147.3247161431972,24.062759399414062,1.1201822757720947,26.95351384781486,None (DC),None (DC),None (DC),None (DC),None (DC),88.16725730099435
Increasing Power,100,123.52679443359375,0.5052170157432556,33.95243327007516,52.36382705010507,62.4078369140625,0.5440411805464224,0.7984157593133473,142.97912487669464,24.058652877807617,1.2427691221237183,29.89819553333177,None (DC),None (DC),None (DC),None (DC),None (DC),88.059065739136
Decreasing Power,0,123.4752426147461,0.007465580943971872,0.026220415936644665,0.9214414548301991,0.9218144416809082,0.02844435360421596,0.8031133620167047,12.593368427520732,24.10392189025879,0.0030079300049692392,0.016838471566697075,0.07052047923791609,0.07250291109085083,0.23224545488383747,695.8693909183731,125.04550488254161,64.21893385437971
Decreasing Power,10,123.4593276977539,0.07187652587890625,3.3100864282642948,8.233355940584909,8.873827934265137,0.37301674686330405,0.8013544244074599,231.15584925297387,24.099315643310547,0.12099713087081909,2.91352799061324,None (DC),None (DC),None (DC),None (DC),None (DC),88.01969536913278
Decreasing Power,20,123.42617797851562,0.12969473004341125,6.550994275727531,14.605879845259066,16.00772476196289,0.40923956234516357,0.7184694865754049,202.07903921375086,24.095884323120117,0.24375595152378082,5.870512949636822,None (DC),None (DC),None (DC),None (DC),None (DC),89.61254891319324
Decreasing Power,30,123.33406066894531,0.18519361317157745,9.9756435954466,20.547098259229816,22.840681076049805,0.43674895517484474,0.7569907140787194,196.7894385544904,24.091991424560547,0.3706732392311096,8.926862398256034,None (DC),None (DC),None (DC),None (DC),None (DC),89.48658111974565
Decreasing Power,40,123.32099914550781,0.23332315683364868,13.291827130151539,25.519600333953356,28.773645401000977,0.4619444962538234,0.7046257029277724,178.09235410660017,24.08803367614746,0.493604451417923,11.886448187007574,None (DC),None (DC),None (DC),None (DC),None (DC),89.42674374724626
Decreasing Power,50,123.43256378173828,0.28275102376937866,16.787453782224038,30.598025493076506,34.90068435668945,0.48100643559461803,0.6977891905072896,168.24882167294206,24.082761764526367,0.620943546295166,14.950772375305093,None (DC),None (DC),None (DC),None (DC),None (DC),89.05920200439344
Decreasing Power,60,123.37435150146484,0.3318083882331848,20.18850648789779,35.612261248345554,40.9366455078125,0.493164650827214,0.7026704879711908,162.11208931094217,24.076932907104492,0.7437995076179504,17.905954738595284,None (DC),None (DC),None (DC),None (DC),None (DC),88.69380580148014
Decreasing Power,70,123.2684555053711,0.3802049160003662,23.63935843623725,40.468776400974946,46.867271423339844,0.5043894751778717,0.6849968848779783,154.50508678216374,24.07036781311035,0.8700998425483704,20.942172501007985,None (DC),None (DC),None (DC),None (DC),None (DC),88.59027438285003
Decreasing Power,80,123.2953872680664,0.424529492855072,27.14616593979613,44.752944573103456,52.342529296875,0.5186254142559525,0.713727706382624,150.05705307027714,24.066505432128906,0.99319988489151,23.901679002862306,None (DC),None (DC),None (DC),None (DC),None (DC),88.04808404940373
Decreasing Power,90,123.28319549560547,0.4677102863788605,30.6548566961968,48.83697292884438,57.66082000732422,0.5316410119090041,0.7349727681553269,144.96353140035208,24.061782836914062,1.1204783916473389,26.95950525199019,None (DC),None (DC),None (DC),None (DC),None (DC),87.94529858407371
Decreasing Power,100,123.25563049316406,0.5010812282562256,34.190264052772775,51.43400680684809,61.76108169555664,0.5535891392140655,0.7929757465178723,134.5822231972611,24.056869506835938,1.2434675693511963,29.91272390170664,None (DC),None (DC),None (DC),None (DC),None (DC),87.48901106916361
Random Power,0,123.40365600585938,0.007412854582071304,0.026679178336616188,0.9143842158272676,0.9147733449935913,0.029164796375656415,0.7884030423590279,11.993674852346386,24.099929809570312,0.0029949061572551727,0.015705975665632036,0.07044746985594852,0.07217703014612198,0.2176035178204947,207.35913782823934,109.28293379355696,58.869787770323356
Random Power,10,123.38397216796875,0.07146518677473068,3.305774647422463,8.174530816472181,8.817658424377441,0.37490391307098775,0.7995099174143094,225.524722309435,24.095966339111328,0.12102662026882172,2.9137202386282777,None (DC),None (DC),None (DC),None (DC),None (DC),88.14031654880428
Random Power,20,123.31673431396484,0.1311601847410202,6.553645357655357,14.787020012027092,16.174245834350586,0.40519016619228315,0.8055026272620903,215.99704228586046,24.092247009277344,0.24386177957057953,5.8719430822934005,None (DC),None (DC),None (DC),None (DC),None (DC),89.59812076853295
Random Power,30,123.23733520507812,0.18520574271678925,9.99303564504819,20.520385052399092,22.824262619018555,0.43782512547508934,0.7777216425482595,180.27375282673512,24.089658737182617,0.37091636657714844,8.931692333369202,None (DC),None (DC),None (DC),None (DC),None (DC),89.3791701603215
Random Power,40,123.29861450195312,0.23241649568080902,13.29673304004298,25.385023491294078,28.656631469726562,0.4640019555016407,0.7864512144085521,182.85273875421018,24.084074020385742,0.4937223792076111,11.887019649732794,None (DC),None (DC),None (DC),None (DC),None (DC),89.39804697842058
Random Power,50,123.29215240478516,0.283826619386673,16.78398084555207,30.705857529614086,34.993595123291016,0.47963008048810046,0.7206579616107326,166.85584168069715,24.079694747924805,0.6208861470222473,14.947313021680717,None (DC),None (DC),None (DC),None (DC),None (DC),89.05701906614075
Random Power,60,123.30224609375,0.32354697585105896,20.221135210138893,34.38956943287046,39.89406967163086,0.5068707047583662,0.7525936568359416,159.16866101174483,24.071250915527344,0.7436567544937134,17.898061005647847,None (DC),None (DC),None (DC),None (DC),None (DC),88.51165288026829
Random Power,70,123.31370544433594,0.37289300560951233,23.637141868103427,39.44242805699181,45.982818603515625,0.5140429096335614,0.7904730846159916,156.4490603986928,24.065231323242188,0.8699904084205627,20.934903992705472,None (DC),None (DC),None (DC),None (DC),None (DC),88.56783154885395
Random Power,80,123.23287200927734,0.409696489572525,27.23983629488688,42.50925854115063,50.488075256347656,0.5395301000598578,0.7782592852816715,146.10623691895597,24.062175750732422,0.9930981397628784,23.89476538554107,None (DC),None (DC),None (DC),None (DC),None (DC),87.71993020393552
Random Power,90,123.29966735839844,0.46427154541015625,30.620579297861685,48.36647464988595,57.24452590942383,0.534908426812926,0.8330078236547415,147.57656786886005,24.060100555419922,1.1206181049346924,26.96092429109377,None (DC),None (DC),None (DC),None (DC),None (DC),88.04838089061406
Random Power,100,123.15977478027344,0.4962138235569,34.18657202198889,50.657164083149716,61.113582611083984,0.5593940096679682,0.806535210792265,136.96576271222557,24.055465698242188,1.243472695350647,29.91103312634537,None (DC),None (DC),None (DC),None (DC),None (DC),87.49351384838036
